BMX	PLAGL2	CXCL14	TSPAN8	NPPC	COL9A2	TCF21	NGFR	MYOM1	SPP1	MT1H	ARMCX6	DNAH11	CLDN5
REXO4	APC	LRRC39	NIPBL	TFRC	MYADM	TMEM138	ZNF521	PLEKHB2	AMOTL1	AP1S1	MEF2A	PSMD3	CREBRF
DHRS3	XPA	FURIN	TMCC2	LY86	TSPAN5	DNAJA3	ZBTB44	BOD1L1	PRICKLE1	RDH10	FAM110B	GCC2	RGS10
GRK5	HDAC3	FPR1	ACAA1	ST8SIA1	GOLGA4	GALE	TBC1D1	FNDC3A	BVES	SUGP2	HNRNPUL1	SMC3	TMEM71
KPNA6	LTC4S	FNDC4	MFGE8	PLEKHA4	HK1	PIAS2	R3HDM4	IFIT1B	CASQ2	TXLNA	BDP1	STRADB	WDYHV1
TSC22D2	ELOVL1	ADCY6	UBE2H	HMGCS1	COA1	SP1	DENND5B	JMJD6	IFIT1B	NUP93	TOP2B	UBE2A	GLI4
COLGALT1	ELOVL5	UBP1	BRD4	ICAM4	TNNT1	WWP1	MAFB	MBTPS1	HLTF	GSTM4	RFC1	NPPB	CDK14
EFHC1	LMCD1	LRP5	CDIPT	RASAL2	HINT2	NUAK1	CEP350	STK16	PNPLA4	P2RY1	CNIH4	WWTR1	CRADD
MS4A7	SOX7	ENDOG	GOT2	UBE2D4	ERP44	RREB1	CORIN	RNASE6	C12orf65	PUDP	NT5C3B	HLA-C	SDSL
CISD3	GSTZ1	HTRA3	BSDC1	ZNF451	RARRES2	ACSL6	MT1M	ASL	GAS1	MARVELD1	GABARAPL1	TUBB2A	CBFA2T2
CEP63	WIPI1	ATL3	ING4	UBFD1	CAV2	ENDOG	PRICKLE1	SMC6	PEG3	DUSP5	AP2B1	GPBP1	MGAT4C
GADD45G	SFRP2	KDM3B	CAMK2D	ATPAF2	MRPS25	ELMOD3	SLC48A1	AMOTL1	SLC39A13	MPHOSPH6	G3BP1	PSMD6	ERMAP
SIPA1L2	NBL1	MYO9B	SYNPO2L	TNFAIP8L1	UBE2V2	IQCK	IGSF6	PUS7L	DDR2	POMGNT1	TCEAL7	NRBP1	NUP107
EIF3B	C12orf76	KLF13	HTATSF1	PDLIM4	LAMB1	ADCY6	ARAF	TBX18	CCNY	IGSF6	FRMD4B	MTPN	NMB
RBP7	GMPR2	UBE4B	TSPAN6	IFIT1	ZFAND5	TMEM107	STT3B	MYO10	LEPR	ATN1	PRSS23	PHF5A	C1orf53
LY6H	ST6GALNAC6	KHDRBS3	RBM5	ARRDC3	SEPT6	ATP11A	RAB3IP	THOC6	LGR4	ZNF462	CPXM1	PSMC6	GPNMB
NNT	CCDC115	THUMPD2	PPP1R16A	MCU	NOP56	MEF2D	MACROD1	MRPL30	SERPINH1	ALDH16A1	NID1	ABLIM1	CSRNP3
LRRC49	DHRS7	TTLL1	CLK1	SLC12A2	ITPA	PELP1	FLOT2	RPRD1A	HMGCS1	DTNBP1	C9orf78	ANXA7	POPDC3
NR2F6	THBS4	CREBBP	CMC1	PROX1	ISCA1	CNOT1	MOXD1	SASH1	ASMTL	MTHFD2	SERPING1	CETN2	ATM
SDR39U1	TNFAIP1	RNPC3	TM2D1	METTL3	VPS25	TPPP3	IPO11	C15orf40	FKBP9	ALKBH2	NPM3	FBN2	FZD2
NOVA1	ITGB1BP2	F8	PODXL	CORIN	ECI2	LRWD1	MTSS1	NFKBIL1	IPO11	FRY	TIE1	CSNK1A1	YY1AP1
C17orf99	EMP1	THSD1	FOXO3	PLP1	UROS	HMGN5	SNCAIP	HBS1L	PLEKHA4	ERBB2	WAC	ZNF593	NRG1
BIRC6	SMTN	B4GALT1	BCLAF1	PRDM2	UBE2E1	PRR14L	RRAS2	THG1L	RORA	CDO1	BAG6	BAZ2B	AGR2
ECHDC2	OLFML1	DDI2	KPNA2	RABGAP1L	MRPL13	FGD6	EFEMP1	DDX41	SYNPO	PLXNA4	PPP1R14B	ECE1	GDF6
ADAMTS6	BCHE	FAR2	BFAR	CASQ2	XBP1	GJA5	ADAMTS1	CRIM1	PCOLCE	ZBTB20	S100A9	ACTN4	COPZ2
CHSY1	ALG3	SENP5	IKBIP	SLC7A7	MTCH2	ERBB4	RUNDC3A	PDRG1	SPON1	HNRNPLL	UQCC3	ANKRD11	CNTN6
MYH6	EDNRB	MEOX1	MYCT1	HEY1	RER1	MYCBP	RNASE6	C12orf65	PALM	NDFIP2	SRSF1	NSRP1	MPP5
CCL4	CNRIP1	ELP3	CLDN5	AXL	TRAPPC3	STAT6	MCC	LRP6	WDR34	NAB2	PIGT	CCL3	ITGA11
KIAA1191	SF3B4	IL4R	SPSB3	ARHGEF7	NAA20	ZDHHC24	MAPKAPK3	GEMIN6	VWF	EBF2	KLF2	ANXA11	TSPO2
SRPK1	DOK5	RENBP	MRPL1	APOBEC3C	ARL2	SFT2D2	ROBO4	FAM172A	LY6H	METTL21A	CD36	ZSWIM7	TMEM39A
PTPN2	MRPL35	RBM12	PPIF	IPO11	PON2	VPS8	ZNF451	ZCCHC7	DOK4	EMILIN1	HAND2	TRAM1	FAM216A
NMT1	BRMS1	ZMAT3	KDM5B	MTERF2	ADSL	ALPK2	CMBL	CETN3	CMYA5	MCMBP	DEGS1	LUZP1	CDIP1
CPEB4	UBE2D1	ZNF524	KNOP1	TBC1D1	CDC123	SLCO3A1	OPA1	GTF2E2	WEE1	ATXN1	DAP	TPGS1	ACTA1
RNASEH2B	AIG1	PLEKHA2	IFNGR1	SLC2A4RG	FERMT2	LMO2	SUN1	RSRC1	LRP6	NRIP1	DENR	CTNNB1	BCL11A
EGLN1	TFPI2	MED7	KLHDC8B	RNASE6	RTN3	PTPRD	PTK7	EPB41L4A	RRAS2	PTPRG	PLXND1	NSG1	WNT2
IRF2BPL	PLSCR4	AFMID	LIMA1	DNAJC9	NRP2	GBA2	PRKCH	ARHGAP18	MMP16	TRAPPC12	MYH9	RPAIN	NSG1
CERS6	NINJ1	IGF2R	PCDH9	MYOCD	RTCB	YPEL1	TMEM56	C1QTNF4	SLC35E2B	LAMC1	COX6A2	LSM14A	NTF3
HRC	CHPT1	PIAS2	HIF3A	ZHX1	HM13	LRRC8A	DYSF	ADPGK	OSER1	PRKD3	QPRT	MAPRE1	ESPN
NR4A1	MS4A6A	SLC27A6	PCGF5	MXRA7	NSG1	CDC23	GAB1	REXO4	LMOD2	SORBS2	TRAPPC6A	HLA-DRA	ARHGEF40
IL1RL1	ADGRA2	WWP1	TOX4	RRAS2	DDX18	SGIP1	NNT	SP100	ZNF521	PLK2	USP22	RHOG	CACNA1C
RNF24	FEZ1	NAGA	DNPEP	REV3L	EZR	ST6GALNAC1	CPEB4	DDX10	CPD	RHOBTB3	PHF20L1	CKAP4	PPP2R2D
SMU1	POLE3	SOCS2	PLAT	PRND	SNX2	A4GALT	LGR4	NET1	NAA60	ETV5	UPF3A	GPM6B	WNK2
FNIP1	MMP14	GJC1	COPS2	COPS7B	CAPN2	FADS3	PRR5	LY6H	BZW2	LARP6	ELN	VASP	PTGDS
TMSB15A	AKT1S1	PLXND1	C2orf40	ADAMTS1	PHACTR2	CREBRF	ANGPTL2	EIF3B	WDR54	PTPN14	GGNBP2	AKR7A2	MTFR1L
SYNGR1	CNPY4	FIBIN	HPS1	IGSF6	NAV1	BMP7	NDFIP2	HEY1	NUP37	MCU	GMPR	CCDC3	TWIST2
SLC9A3R1	ST3GAL4	ORAI1	TRA2A	OPA1	HNRNPAB	NOL4L	PDLIM4	RIF1	WDR6	TTYH1	SNAI2	ISG15	GRAP2
RAB21	SNCG	TRAPPC6B	LRP10	SLN	AAMP	STK24	TMC6	SRFBP1	KCNJ8	MTUS2	GATA6	AIMP1	CITED2
HHIP	BMX	ATF7	ELF1	PTCD3	EMC6	SMAD9	TANC2	CYGB	NFIX	EPB41L4A	SLC16A3	HAGH	SEC23IP
NUMA1	MAPKAP1	PLEKHM2	ATP6AP1	BVES	ZFAND6	TOB1	UBE2Z	CWC25	MARC2	ZNF704	CISD2	PTBP1	SNX24
TAOK3	NR1H2	ARNT	CFLAR	MARCH3	VPS35	CYB561A3	ECHDC2	GIMAP1	IMPAD1	ACLY	TPGS2	ANAPC5	USP46
NOTCH2	RBMS3	EPHA7	SERINC1	ABTB1	CKM	SATB1	CORO1A	CCDC102B	FRMD3	PRRT2	TCEA1	BABAM1	PLXDC1
EMILIN2	HLA-DPA1	CLIC2	SGCE	MXRA5	SRM	NELFB	CNTFR	NAT9	TET1	CUL1	TUSC3	SLTM	HOXB2
LYRM1	KRT1	NECAB3	WNK1	EDNRA	GNAI3	FUZ	DSEL	CCDC14	GTPBP8	CALHM2	USP16	KLF3	CARD16
FKBP9	MICAL2	PTPRN2	MTX2	NIT1	NDUFA9	MLLT3	GALK1	KLHL20	TSPAN12	ADAMTS12	FGFR1OP2	EMC7	NTS
CCDC102B	ZMAT5	PCDH12	PAPSS1	MT1M	HERPUD1	MGAT4B	ACYP2	TNC	ADNP	MYO10	GAMT	LPP	EPB41L3
RUNDC3A	FNBP1L	CYGB	ALDH1A2	MSL3	MPG	FCGR2A	THBD	GLTP	DOCK6	ABHD14A	PAK2	CCDC12	MAOB
MITF	KLHL4	PLN	LXN	DVL3	CAT	GATC	BST2	SFSWAP	C17orf99	PRTFDC1	EFNA1	YY1	TM7SF2
SEC11C	GPATCH4	B4GALNT3	FAM133B	TRIB3	CD34	DOCK6	PIGS	C17orf99	ADAMTS6	EXOC5	ZKSCAN1	PRPF40A	FNDC4
ADAMTS9	IGFBP6	GPRC5B	CLTC	ROBO4	RSU1	PET117	ABHD14A	SMU1	BOD1L1	POSTN	MRPL2	NR2F2	CBWD2
MYLK3	PHOSPHO1	TULP4	PAM	VPS13D	IFT20	SH2B1	SLK	HSCB	VASN	MAEA	VMP1	ATP2A2	NPNT
ADPRHL1	HS3ST1	MUL1	RAB18	RORA	CKB	TJP2	NR4A1	CERCAM	SORD	RASAL2	CDK6	DDX3X	DNAJC12
GOSR2	VPS4A	APLNR	HBP1	SCD	CD74	LPCAT4	INHBA	FNIP2	EFEMP1	CCDC86	PYCARD	PEG10	ANKRA2
CYBB	ENOPH1	VEGFA	APMAP	MTSS1	CD24	CXCL8	LY6H	SCN7A	MYZAP	BOP1	PCDH7	COPS3	PKDCC
UNC45B	LYPD2	PPP6R3	SPTSSA	RHAG	AHSA1	TMEM181	UPF3B	LIFR	MECP2	TNFSF12	RNF115	SRGN	TMEM45A
FBXO17	EDIL3	SLC6A4	PWP1	MCC	APCDD1	HLA-DRB5	CD40	EFEMP1	GAB1	LIMCH1	CLIC4	HMOX1	FAH
CNTFR	HSPA2	NTS	POLR3GL	MOXD1	EWSR1	GPC1	RHAG	TPBG	MMP11	PRKCH	MRPS23	ARL6IP1	SLC27A5
UBN1	UCHL1	ADGRL2	MGAT1	WWC2	FEZ2	ART4	TMEM60	CORO1A	MED16	PEBP1	PHGDH	HACD3	TSPAN32
MICU2	AMZ2	CDH13	ORMDL1	NAA60	NDUFA4L2	VEGFA	TPST2	FNIP1	AKR1C3	NEBL	SURF4	ATP6V0D1	COL9A2
CAPG	NUPR1	ELN	LOXL1	RBM24	TERF1	MFN2	GPC6	TRIP12	LRRN3	SLC7A7	HLA-DRB1	MIEN1	NAP1L3
GTF2B	GPSM3	ZNF672	PARVA	STAT1	C1orf54	SAMSN1	SMPD1	NUMA1	PTK2	NXN	ANKRD12	PSMC2	TPD52
SNAP29	RDH11	SGCA	ADD1	SPRY2	DNAJC7	PPP2R5A	CASQ2	AKR1C3	RUNDC3A	ELK4	TSPAN7	SRSF4	SPIN4
SH3RF2	CPQ	LSP1	SPATS2L	SORD	SVIL	WDR5	CSF1R	KDELR3	DDX54	TSPAN12	LIMA1	CDH2	KEL
GTPBP6	KMT2A	AK1	COL9A1	PSMD10	MTUS1	MAPK14	RBP7	CARD8	ZNF397	TBL2	RAD21	GSPT1	PHTF2
TNS1	DMKN	ST6GALNAC1	MAGEF1	EBF2	RAP1A	RIMKLB	CAPG	C1QTNF6	EPHB4	SCARA3	ZFP36L2	MACF1	ZNF641
ZFHX3	SGK1	GUCD1	MB	COL6A6	EIF2A	PTGS1	RSPO3	CPE	C2orf88	IPO11	RAB32	MAP4	SLC39A4
NOLC1	CLPTM1	XPO7	ZNF638	NUP93	CHCHD3	POLL	LRP6	FUOM	CD34	ADGRG6	ACADVL	ATP6V1E1	CKAP5
TCF12	CREB3L2	GJA5	SLU7	GATM	IDH3B	STX16	PUS7L	GLS	YES1	CUL3	SMYD2	EVA1B	MEDAG
NAA50	NUDT2	ITGA8	CNIH4	PLXNB2	ISOC2	GATA2	NPL	CDC42BPA	PCID2	WDR54	CALCRL	CORO1B	PTGES3L
CORO1C	FYN	TRAK1	COL21A1	BMP5	KRT19	BLOC1S5	CLSTN1	GIMAP4	ELP5	SH2D3C	DPCD	TSPAN5	NECAB3
NET1	YIPF2	HAAO	NAGK	COASY	CNN2	IFI27L1	KLF4	RUNDC3A	SUN1	ERGIC1	FAM114A1	BPTF	NBPF19
ROBO1	SDHAF3	POPDC3	PFKL	PINX1	POPDC2	ITGB2	CYBB	MED6	PTK7	RASSF8	PHIP	SEC63	ALPK2
RRP1B	MAP2K3	GBP7	PPP2R2A	TAL1	RPL26L1	PTPRM	SLCO2A1	CLN5	TULP3	SLC2A3	WLS	FAM32A	MYO18B
SOX6	EPS8	CALCRL	NIPSNAP3A	ADAMTS12	GMDS	LAMA5	CAMK1	RHOJ	MYL2	CREB3L1	LOXL2	EMC3	MMRN1
WDR41	IFT52	YTHDC2	NKX2-5	INSR	CYB5A	MGAT5	NGLY1	FBXO17	RHOD	RCN3	SEC31A	TSN	IL17RC
CDKN2D	RPL39L	MMRN1	ESF1	TP53I11	DUSP6	CKMT2	C15orf61	SNCG	RAB13	ZBTB38	FGFR1	FAM204A	IRS2
AGO2	ANXA4	MAPK14	PLS3	CNOT11	ETFA	CD53	MMP11	IL10RB	DTWD1	IFIT1	PHLDA1	DDX1	PDE3A
COL15A1	PTS	SLC20A2	MFSD10	PNCK	ATP1A1	GCAT	MYZAP	CYBB	CNOT11	ZFYVE16	ACAT1	LRRFIP1	OSR1
DNAJC21	MORN2	GPR22	USE1	GCLM	PCMT1	DGKH	FUCA1	B4GALT7	FZD6	PRKCB	GPX8	ZEB2	CYBRD1
ARHGAP28	FRZB	SYT11	DLD	NGLY1	MCTS1	MTHFD2L	HTRA1	PLA2G5	COL9A3	GPATCH2	MLEC	CLU	SYNPO2
DLK1	ACOT9	LAPTM5	SRPK2	MMP16	SON	CRACR2B	LRRN3	WDR74	DSEL	TP53RK	A2M	ZRANB2	MAPRE3
PLCD1	NCOA7	KLHL13	DYNC1H1	EXOC5	COL18A1	CHST2	SH3RF2	EIF4A1	TNNT2	NCSTN	WWTR1	STAT3	EFNA5
KMT2C	TUBA4A	AGPS	HNRNPH2	FAM43A	SPARCL1	SOCS2	APIP	ANGPTL2	SMIM8	AGTRAP	RAI14	SDF4	ZNF703
PKN1	POLR3D	KCNS3	ATP6V1D	OSBPL1A	LYL1	MAGI1	C15orf40	DGKZ	HERC1	DOCK6	TMEM123	CREB5	TIPARP
VSIG4	SSPN	PTGIR	UBE2F	DEF8	IK	SLC4A3	VWF	PES1	NPPA	EHMT2	GOLGB1	SLC40A1	SLCO3A1
RSPO3	TNFRSF12A	RCAN1	VCL	PMM1	COMMD1	GUCD1	CTSF	APPBP2	CRYAB	DKK2	UBE2K	TMOD1	LAMA2
WDR82	LUC7L	DHRS4	RNF114	GYPE	COPS8	PAWR	RGS1	CAMK1	TMEM222	COQ5	UBE2R2	HK1	BMPR1A
F13A1	DMTN	HTATIP2	SMOC1	AZIN1	LIMD2	SNCAIP	ZNF33A	TAL1	TNNI3	MYLK3	HSPA1A	DLC1	FGF18
PGP	COL26A1	NDUFAF6	MASP1	ARHGAP18	CXCL12	STK39	MECR	ZFAND1	COL15A1	FLYWCH2	ABI2	ERP44	SCUBE3
SLC4A7	DPYSL3	C1orf115	KCNK6	CRIM1	GLRX3	MTA1	PNPLA2	C6orf89	TANC2	TRIM38	EML4	CCL21	BMP7
RBM20	SULT1A1	AFAP1	ACADM	EMP1	CANX	UBE2Q1	NFKBIL1	OSER1	HEY1	VEZT	CDH5	TP53I3	RASGEF1B
CTSE	TSR3	NMT2	RALB	ANGPTL2	GLIPR2	RASGRP2	MTERF4	TCF12	CWF19L2	UBE2D1	PLOD1	CLEC14A	CLIC2
CAMK1	MED8	RAPH1	CDH5	COQ5	TXNDC12	MS4A4A	CRIM1	COLGALT1	TMSB15A	SPPL3	ARPC5L	NUDT3	RCL1
PENK	ACSM3	ZNF559	FAM110B	DEDD2	RAD23B	MIB1	CHPF	CBR1	ANGPTL2	SOX9	ERLEC1	ITGA8	PLEKHA7
USP28	CCND3	ADM	TACC1	NFIX	SBDS	ATG4D	ADAMTS6	RAPGEF5	NRK	PDLIM4	PCM1	DHX36	LRRC61
HIST2H2BE	EHD2	HCFC1	MAGEH1	NET1	HSPA9	TMEM33	RBM24	CTSE	IARS	CMYA5	EPB42	MED28	ERBB4
EXT1	ATG101	DIP2A	FILIP1L	RGS1	PGAM2	KIAA1109	IFIT1B	TBRG1	DLK1	ADAMTS1	GOLIM4	PSMD2	ADAP2
MRAS	CBLN2	A4GALT	MEF2A	GAB1	PECAM1	ZC3HAV1	SOD3	ETS1	CRIM1	C20orf96	NFIC	FBN1	SEMA3A
TMEM56	ECM1	NT5C2	PHF20L1	ERV3-1	MAGED1	CREBL2	IRF2BPL	OARD1	RELA	FAM98A	MYLIP	TNNT1	SALL1
SNAPC5	EMC8	SALL1	SYPL1	MIB2	PPM1G	SLC20A2	C12orf65	TP53	HRC	MBIP	MCL1	XRN2	FERMT1
CHPF	M6PR	SOX12	SAR1A	TNPO3	C14orf119	CACNA1C	RICTOR	SOD3	LIFR	SHPRH	SRGN	SMARCC1	CLDN6
TTYH3	COLEC12	GATC	TOP2B	TRIL	SUGT1	OBSCN	PEX16	F13A1	NOA1	S100A11	ABCA8	CHD4	FBXO32
CRIP1	ASNSD1	COL12A1	LGMN	TBX18	PDHA1	PTPRK	C2orf88	CHSY1	RSPO3	ZNF521	REST	IL6ST	LSP1
CTSK	RNF207	ASCC3	GMFG	PSD3	SERPINB6	TANC1	RHOD	DEAF1	RBM4B	RBM24	LITAF	SDF2	SLC6A4
VEGFB	GSDMD	DGKI	CXCR4	HEXIM1	F2R	TNFAIP8	TSC22D2	KANK1	SASH1	SUCLA2	FHL3	EPB41L2	PTGIR
LTBP3	TUSC2	STX16	C1orf21	PDXK	PFKP	FCGR1A	HCST	GPRC5C	YAP1	TANC2	COMMD7	DBNL	EPHA7
HMCES	RRAS	CHIC2	PLXND1	CMYA5	GSTM3	SUZ12	MIB2	HGSNAT	RNF24	BMS1	WDR13	TJP1	CEMIP
EPM2AIP1	PRKRA	DCPS	CMAS	RANBP2	MYBPC3	PTPRE	NRK	GAS1	KRT18	PRICKLE1	STRADB	RPL7L1	ACSL6
PRRX1	RNF11	PCNX1	AIP	VASN	MRPS26	ATP13A3	GIMAP4	SMARCC2	MID1	ARAP3	SPTAN1	SNW1	CCBE1
SMARCD3	CYB5R1	FGD6	HEY2	FRMD3	SDHB	BCL6B	CCL4	STARD3	ITPR1	AMOTL1	TUBA1C	STAU1	HAAO
RASGRP3	MOB1A	ITGA10	NID1	LAMTOR3	BZW1	TNFRSF1B	RAB21	RCN3	TLE1	ROBO4	TSG101	GOLGA4	RPAP3
REC8	ITGA1	HRH2	SSRP1	RAB3IP	ASPN	STK38L	GADD45G	ITGA9	SLC25A1	RRAS2	PALLD	TIMP3	COBL
SOX7	GARS	PLCXD3	GMPR	EXOSC5	NARF	KLHL13	PENK	GTF2B	FBLIM1	PROCR	PTP4A2	MED10	MCCC1
TNC	TMBIM1	LNPEP	CLIC4	ZNF281	ACTR10	PMEPA1	USP28	BAZ2A	TUBB2B	CSTF2T	ILF3	TNFRSF1A	PPOX
MAP1A	ZFYVE21	CASZ1	SPRY1	EFEMP1	ANXA3	CLDN10	RSPRY1	ENDOV	PLPP1	CDC42BPB	CHTOP	MYOM1	SFRP1
FZD1	HHEX	HAPLN3	SERPING1	GIMAP4	MRPL47	RNF141	KLHL24	RRP1B	RAB3IP	UTRN	GRAMD1A	CD24	HAPLN3
KHSRP	MCFD2	MS4A4A	SHISA5	IARS	PARP1	EDEM2	C17orf99	DNAJC10	SFXN4	MEST	PIM1	MYADM	PLCXD3
SQLE	TESC	FREM1	FGFR1	LRRC49	MRPL28	MYOCD	NMT1	XRCC1	MXRA7	FLRT2	MAP4K4	NOP56	ACVR1
CAND1	LCMT1	SERPINI1	TRAPPC4	LRP6	CD14	OGDH	GAS1	SLC39A10	C1QTNF6	COLEC11	GCC2	JAK1	OBSCN
PHLDB1	LYPLA2	CCDC88A	PDGFRB	NOP16	SPINT2	MLYCD	GIMAP1	NAA50	HIC1	AP3B1	MRPS12	LARP7	PARD3
PDGFRA	ZNF32	GLIPR1	SIGIRR	CBR1	CHCHD1	CCDC112	METTL7A	RSPO3	MXI1	MCC	NAP1L4	UBE2E1	GAA
SCN7A	PSMG3	IPO7	IGF2	PPP1R10	TLN1	LRPPRC	FZD6	GUSB	PROX1	TRIL	PDCD10	TMEM173	GPR22
PNP	POP7	PREX1	HLA-DRB1	RNASEH2B	RNF5	CD2AP	ERC1	ZNF467	MIB2	GALNT11	JUND	RGCC	DOCK7
CBX6	SDC2	AKT1	NFYC	IFIT1B	LGALS3	SLC20A1	FLNB	TOR1AIP2	C1QTNF4	LRRC49	AUP1	CCDC90B	SGCA
PLPP1	SECISBP2	PTEN	SH3BP5	CLK3	PDIA4	PPP2R2D	NUMA1	EXT1	ENPP1	LRRN3	LRRC17	CBX1	TEAD3
TREM2	SS18L2	HMGXB3	MYH9	ECHDC2	ATP2B1	OGT	LRIG3	LTBP3	IGF2BP1	RNASE6	HIGD1A	NAV1	KBTBD7
APOBEC2	SYNGR2	CD53	S100A9	COLGALT1	CTSL	YKT6	ACOT11	METTL7A	MICU2	LIMS2	SCARB2	CDKN1A	RRP8
ITGA9	CDC42EP3	ST3GAL6	GAMT	FBLIM1	DARS	PMEL	DEAF1	TMEM45A	DCHS1	MACROD1	ACTR2	RBFOX2	RIF1
INHBA	CEBPB	CYP20A1	QPRT	PDRG1	TECRL	NFATC2IP	FNIP2	COIL	AGRN	SH3RF2	NPR3	DDX24	FREM1
MAP7D3	TAF10	FCGR1A	PDCD2	DSEL	LYPLA1	ITGA6	IRX3	SUPT20H	MYO6	FCER1G	CKLF	NFE2L2	EPSTI1
WIPF2	SRA1	TMEM184B	PCDH7	BOP1	AKAP9	ADAP2	SOX6	CBX6	PLCE1	LY6H	TUBB2A	GPC3	FIBIN
LST1	CD93	CXCL8	CNOT7	HBS1L	HES4	B3GNT2	DHRS3	LYVE1	PRRX1	MMP16	TSC22D4	ICAM2	MS4A4A
IGF2BP1	CCDC107	LMO2	C9orf78	EPS15	TUBB2B	SNAPC3	NOVA1	KCTD20	VIM	LMOD2	TSEN34	ADSL	C19orf12
HOPX	FAM229B	CDK8	FAM3C	RBP7	TMEM160	MYT1	C16orf87	BCAT1	HHIP	FAM172A	ECE1	NAA20	BIVM
SLC38A1	DYNC1LI1	ST3GAL2	TCEAL7	SIPA1L2	PDLIM2	PDPN	NHSL2	CALCOCO2	DEAF1	C2orf76	FBN2	XBP1	HEMK1
DMTN	ARID5B	CLDN10	NME3	NPL	SYNCRIP	ZBTB43	DYRK4	THSD7A	SUCLA2	NFATC1	ACTN4	PON2	SATB1
CNDP2	PCDH18	GATA2	UACA	DDX10	TSTA3	SH3KBP1	TREM2	MS4A7	PENK	CMBL	LUZP1	RARRES2	DACT3
VPS26B	PELO	PIP4K2A	CALCRL	ADPRHL1	NELFE	TAOK2	SIPA1L2	DDX52	RBM20	PHYHD1	CCDC3	PRPF38B	CISH
OBSL1	TRAF4	FLCN	BCAP29	RYBP	AP1S2	KBTBD2	MITF	GOSR1	MYLK3	LEO1	MED4	IRF2BP2	PRR3
CARD19	BMP4	ZYG11B	CCDC34	ADAMTS6	LEPR	PURA	PLP2	ZNF277	SOD3	MAPKAPK2	NPPB	DDX18	PTGS1
YPEL4	ANKRD9	CD36	WDR45	ZFHX3	LDB3	CLASRP	ATF7IP	PENK	HSPB8	CPD	CDC42EP1	IP6K2	CASZ1
ARHGEF2	SMIM5	NTRK2	RSBN1L	KCNJ8	MRPS18C	UBR2	CDC16	POLR2A	RPUSD3	RRBP1	RAB10	MPG	RCC1L
PDE4DIP	NAPRT	RPUSD4	WAC	FCGR3A	CLPP	TRAK2	PDE4DIP	TOR2A	CTNNAL1	FZD6	KLF3	HM13	TANGO2
SEC23A	TMEM204	JARID2	PNRC2	LY6H	AKAP12	OTUD1	LIFR	TGS1	TRDN	ITGA9	CSNK1A1	H1FX	ADRB3
SLMAP	TMEM106C	MRRF	NEMF	MRPL30	MSN	CCDC86	HHIP	CAND1	NOSTRIN	MAP2K2	MRPL40	PRKCSH	NPPB
ATXN3	TXNDC9	PINX1	TUSC3	CHCHD6	MEF2C	LYZ	ID4	CIAO1	MYH6	EIF2B3	GPM6B	RER1	PAG1
CMC2	UBE2L6	CBFB	PLSCR1	MTURN	ZMAT2	PTPRB	GCA	ARCN1	CCDC102B	MAFB	TPGS1	CIR1	TMEM108
IPO7	B4GALT3	SULT1C4	NRBP1	RCN3	PSMD13	PLLP	ST6GAL1	FAM171A1	EPB41L4A	UBA5	HLA-DRA	FOSB	COL16A1
SUDS3	CBY1	TMX3	PRR13	NOVA1	TMED10	ABI3	DNAJC21	TSPAN14	PDLIM3	SESTD1	CTNNB1	CAV2	TOB1
CYGB	CRELD2	REM1	RUNX1T1	ATP6V1B2	REEP5	KLHL3	CARD8	FAF2	SCN7A	NDRG3	PTBP1	BEX1	HLA-DRB5
XIRP1	AK6	CCL3	ELN	SOX17	MAGOH	PURB	ITGA9	TMEM14A	P4HA2	KCNJ8	CKAP4	FAM118A	SAC3D1
PLP2	FLT1	LPGAT1	CREM	KIFAP3	ADRM1	PRR14	CD14	PTRH1	RBM24	PSD3	MRPL17	PRMT2	CLDN10
GPC6	CNN1	PPP1R1A	MRPL16	SH3RF2	MPP1	HLA-DMA	PKN1	CNTFR	COL5A2	LTV1	IMP3	RTCB	TRIM4
RNASEH1	ADGRF5	SMAD9	FHL3	MBIP	FITM1	KIF1C	MTURN	CTTN	NOVA1	CCL4	STIP1	PHACTR2	ZMAT3
MED25	MMRN2	SAMSN1	ECE1	CCL4	ATXN10	ITGA10	FLRT2	PDGFRA	SPSB3	FRMD3	HLA-C	CHID1	TCTN1
CSF1R	PRSS35	MYT1	MCL1	CNTFR	RRAGA	TNFSF10	PHKB	ARID4A	CNTFR	TCTN3	ANKRD11	ZFAND6	TNIK
NFYB	RPP30	CDH5	ANKRD12	IRF2BPL	ACO2	MT3	TOR2A	PKN2	TCF4	SETX	SMIM1	LAMB1	SAMD4A
TPST2	TSPAN13	PMEPA1	NDRG2	EGLN1	CACYBP	RMND5A	MRAS	IFNAR1	MRPS9	FNIP2	SDHD	FERMT2	KCNH2
PTPA	PRKAG1	HLA-DMA	GOLGB1	TRDN	ACTR3	PNCK	COMTD1	SIL1	FAIM	PDLIM1	C5orf24	AAMP	PAWR
ATF3	FMOD	PTPRE	ROCK1	DHRS3	SNRNP70	PLEK2	FZD1	ZMYND8	MT2A	PPFIBP1	CCL3	HERPUD1	PPP1R1A
ATIC	HSD17B11	FUT11	COL5A1	FZD1	MRPL22	CASC3	PROX1	C12orf45	SLC2A1	CNOT11	LDB2	MTUS1	CLDN11
TMEM65	TMOD3	C1QC	CDK6	LYRM1	MRPL36	PRKCB	DGKZ	SLC39A3	SNX12	MMP11	SLTM	TSPAN3	ART4
